week,display_name,Rk,team_name,matchup_id,wk_pf,total_pf,ppts,pfp,wins,losses,ties,streak,wk_win,wk_loss,standings,streak_num,wk_win_rank,wins_rank,loss_rank,wk_pf_rank,total_pf_rank,pfp_rank,streak_rank,Prev,Chg
1,mbkaufmann,1.0,NINE Victim Support Group,2.0,136.2,136.2,138.2,0.986,1.0,0.0,0.0,1W,1.0,0.0,1.0,1.0,3.5,3.5,3.5,1.0,1.0,2.0,3.5,1.0,0.0
1,jetlifeallstar,2.0,Jet Life All-Stars,3.0,135.34,135.34,142.94,0.947,1.0,0.0,0.0,1W,1.0,0.0,2.0,1.0,3.5,3.5,3.5,2.0,2.0,4.0,3.5,2.0,0.0
1,gunnardillon,3.0,Dillon Panthers,5.0,134.06,134.06,143.96,0.931,1.0,0.0,0.0,1W,1.0,0.0,3.0,1.0,3.5,3.5,3.5,3.0,3.0,5.0,3.5,3.0,0.0
1,kyledillon,4.0,Spurs Up,6.0,117.66,117.66,132.16,0.89,1.0,0.0,0.0,1W,1.0,0.0,4.0,1.0,3.5,3.5,3.5,6.0,6.0,6.0,3.5,4.0,0.0
1,joeycrossover,5.0,Cole World,1.0,107.86,107.86,122.56,0.88,1.0,0.0,0.0,1W,1.0,0.0,5.0,1.0,3.5,3.5,3.5,8.0,8.0,7.0,3.5,5.0,0.0
1,jammer317,6.0,jammer317,4.0,104.7,104.7,106.4,0.984,1.0,0.0,0.0,1W,1.0,0.0,6.0,1.0,3.5,3.5,3.5,9.0,9.0,3.0,3.5,6.0,0.0
1,Steveng93,7.0,Walker Hurts Swiftly,5.0,120.42,120.42,141.22,0.853,0.0,1.0,0.0,1L,0.0,1.0,7.0,-1.0,9.5,9.5,9.5,4.0,4.0,9.0,9.5,7.0,0.0
1,IssaWeelbie,8.0,Washington Weelbies,2.0,118.9,118.9,144.56,0.822,0.0,1.0,0.0,1L,0.0,1.0,8.0,-1.0,9.5,9.5,9.5,5.0,5.0,10.0,9.5,8.0,0.0
1,DoctaB,9.0,Bill’s Mafia,3.0,115.42,115.42,131.92,0.875,0.0,1.0,0.0,1L,0.0,1.0,9.0,-1.0,9.5,9.5,9.5,7.0,7.0,8.0,9.5,9.0,0.0
1,zexler,10.0,ETN Dak Boutte,4.0,104.5,104.5,105.0,0.995,0.0,1.0,0.0,1L,0.0,1.0,10.0,-1.0,9.5,9.5,9.5,10.0,10.0,1.0,9.5,10.0,0.0
1,johnhallock,11.0,GFYS Athletic Club,6.0,103.36,103.36,130.56,0.792,0.0,1.0,0.0,1L,0.0,1.0,11.0,-1.0,9.5,9.5,9.5,11.0,11.0,11.0,9.5,11.0,0.0
1,spida1313,12.0,Chase’in Coke,1.0,99.3,99.3,137.8,0.721,0.0,1.0,0.0,1L,0.0,1.0,12.0,-1.0,9.5,9.5,9.5,12.0,12.0,12.0,9.5,12.0,0.0
2,gunnardillon,1.0,Dillon Panthers,4.0,130.98,265.03999999999996,274.94,0.964,2.0,0.0,0.0,2W,1.0,0.0,1.0,2.0,3.5,2.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0
2,joeycrossover,2.0,Cole World,1.0,135.82,243.68,282.48,0.863,2.0,0.0,0.0,2W,1.0,0.0,2.0,2.0,3.5,2.0,2.0,2.0,4.0,10.0,2.0,5.0,3.0
2,Steveng93,3.0,Walker Hurts Swiftly,6.0,145.06,265.48,293.78,0.904,1.0,1.0,0.0,1W,1.0,0.0,4.0,1.0,3.5,6.5,6.5,1.0,1.0,7.0,5.0,7.0,4.0
2,kyledillon,4.0,Spurs Up,5.0,124.68,242.34,272.84,0.888,2.0,0.0,0.0,2W,1.0,0.0,3.0,2.0,3.5,2.0,2.0,5.0,5.0,8.0,2.0,4.0,0.0
2,jetlifeallstar,5.0,Jet Life All-Stars,2.0,116.78,252.12,260.02,0.97,1.0,1.0,0.0,1L,0.0,1.0,5.0,-1.0,9.5,6.5,6.5,8.0,3.0,3.0,8.0,2.0,-3.0
2,zexler,6.0,ETN Dak Boutte,3.0,117.16,221.66,222.66,0.996,1.0,1.0,0.0,1W,1.0,0.0,7.0,1.0,3.5,6.5,6.5,7.0,8.0,1.0,5.0,10.0,4.0
2,spida1313,7.0,Chase’in Coke,2.0,135.08,234.38,295.38,0.793,1.0,1.0,0.0,1W,1.0,0.0,6.0,1.0,3.5,6.5,6.5,3.0,7.0,11.5,5.0,12.0,5.0
2,DoctaB,8.0,Bill’s Mafia,4.0,120.22,235.64,254.54,0.926,0.0,2.0,0.0,2L,0.0,1.0,10.0,-2.0,9.5,11.0,11.0,6.0,6.0,5.0,11.0,9.0,1.0
2,mbkaufmann,9.0,NINE Victim Support Group,3.0,72.36,208.56,227.5,0.917,1.0,1.0,0.0,1L,0.0,1.0,8.0,-1.0,9.5,6.5,6.5,11.0,10.0,6.0,8.0,1.0,-8.0
2,jammer317,10.0,jammer317,5.0,99.18,203.88,209.38,0.974,1.0,1.0,0.0,1L,0.0,1.0,9.0,-1.0,9.5,6.5,6.5,10.0,11.0,2.0,8.0,6.0,-4.0
2,johnhallock,11.0,GFYS Athletic Club,6.0,115.74,219.1,248.9,0.88,0.0,2.0,0.0,2L,0.0,1.0,11.0,-2.0,9.5,11.0,11.0,9.0,9.0,9.0,11.0,11.0,0.0
2,IssaWeelbie,12.0,Washington Weelbies,1.0,61.42,180.32,227.28,0.793,0.0,2.0,0.0,2L,0.0,1.0,12.0,-2.0,9.5,11.0,11.0,12.0,12.0,11.5,11.0,8.0,-4.0
